Feature,Importance
customerID_2195-ZRVAX,0.00018966023646980193
customerID_7459-RRWQZ,0.0001891792316043638
customerID_6583-QGCSI,0.00018836292025143736
customerID_2545-EBUPK,0.00018830677529521167
customerID_4143-HHPMK,0.00018784648111890505
customerID_5154-VEKBL,0.00018771475898805737
customerID_3230-WYKIR,0.00018743739355700942
customerID_4791-QRGMF,0.00018703517945411146
customerID_3143-ILDAL,0.00018685383939831223
customerID_9831-BPFRI,0.0001868520055927331
customerID_2141-RRYGO,0.0001866797049346168
customerID_3677-TNKIO,0.00018656342441796144
customerID_2657-ALMWY,0.00018655491453624498
customerID_9518-RWHZL,0.00018646163145788743
customerID_4250-FDVOU,0.00018645593869875366
customerID_1941-HOSAM,0.00018640073039841813
customerID_7927-AUXBZ,0.0001863941750146234
customerID_0634-SZPQA,0.00018636500930963701
customerID_0742-MOABM,0.00018623353400926395
customerID_7363-QTBIW,0.0001858576941329554
customerID_7044-YAACC,0.0001857475924076979
customerID_7365-BVCJH,0.00018564557757139933
customerID_7593-JNWRU,0.00018511632963310538
customerID_5219-YIPTK,0.00018490320654740238
customerID_0691-JVSYA,0.00018443330897242288
customerID_8040-MNRTF,0.00018414699295970913
customerID_4659-NZRUF,0.0001841223504591601
customerID_3336-JORSO,0.0001840837418995108
customerID_1114-CENIM,0.00018365401832355185
customerID_3863-IUBJR,0.00018363059459115038
customerID_2869-ADAWR,0.0001836183590947244
customerID_0578-SKVMF,0.00018351634669808224
customerID_6240-EURKS,0.00018326854161059892
customerID_2027-OAQQC,0.00018326578112723774
customerID_6305-YLBMM,0.00018316412080764938
customerID_5515-AKOAJ,0.00018294879650814083
customerID_5502-RLUYV,0.00018291409331328115
customerID_7551-DACSP,0.0001826747599457689
customerID_3594-UVONA,0.0001826631868323526
customerID_4592-IWTJI,0.00018261855278170025
customerID_9957-YODKZ,0.00018212611749550525
customerID_6313-GIDIT,0.00018212267499278476
customerID_1842-EZJMK,0.00018200111153208892
customerID_8205-OTCHB,0.0001819662587793571
customerID_5419-KLXBN,0.00018190990978043977
customerID_8128-YVJRG,0.00018185027765992706
customerID_9601-BRXPO,0.00018182021535249944
customerID_2858-MOFSQ,0.0001818104710543986
customerID_0621-TWIEM,0.00018175940774126133
customerID_3859-CVCET,0.00018173384344875675
customerID_4373-VVHQL,0.00018160245112571027
customerID_3462-BJQQA,0.00018139970562730694
customerID_6394-MFYNG,0.00018139541380626773
customerID_8949-JTMAY,0.00018108755738762244
customerID_8155-IBNHG,0.0001809163522105019
customerID_5536-RTPWK,0.0001806855392595677
customerID_8444-WRIDW,0.00018067771717909808
customerID_7593-XFKDI,0.00018049353077708564
customerID_3791-LGQCY,0.0001803150738258997
customerID_3982-XWFZQ,0.00018021160570595702
customerID_9578-VRMNM,0.00018014959141126534
customerID_0836-SEYLU,0.00017977206131073806
customerID_0471-LVHGK,0.00017977157469194143
customerID_5482-NUPNA,0.00017952814491036515
customerID_5385-SUIRI,0.00017944975494461985
customerID_3320-VEOYC,0.00017817377355730906
customerID_3400-ESFUW,0.00017766789629928694
customerID_1699-HPSBG,0.00017766026684243343
customerID_3521-SYVOR,0.0001775643237002134
customerID_3768-NLUBH,0.00017753866928686582
customerID_7623-TRNQN,0.00017752078501675057
customerID_2683-BPJSO,0.00017738364505715413
customerID_3096-JRDSO,0.000177224246741117
customerID_7666-WKRON,0.00017720594279930788
customerID_1891-FZYSA,0.00017711650262945165
customerID_4918-QLLIW,0.00017687421414255632
customerID_8292-TYSPY,0.00017680773111759977
customerID_5202-IVJNU,0.00017677437820439801
customerID_7549-MYGPK,0.0001766544129389983
customerID_7321-VGNKU,0.0001765625541522591
customerID_7854-EKTJL,0.00017656097573084248
customerID_9360-OMDZZ,0.00017651436267685023
customerID_9103-TCIHJ,0.00017643153782127865
customerID_4080-OGPJL,0.00017642222681065703
customerID_5301-GAUUY,0.0001760854617043281
customerID_0877-SDMBN,0.000175901807039606
customerID_1113-IUJYX,0.00017586509324741162
customerID_9898-KZQDZ,0.00017583719514728557
customerID_0207-MDKNV,0.00017566088485504547
customerID_3445-HXXGF,0.0001755694824160822
customerID_4883-QICIH,0.00017556649354808315
customerID_7730-IUTDZ,0.00017529994283665507
customerID_1625-JAIIY,0.0001752987453453937
customerID_5057-LCOUI,0.00017526455069608732
customerID_5708-EVONK,0.0001751223142588304
customerID_7776-QWNFX,0.00017498488222950784
customerID_4911-BANWH,0.00017497253186692628
customerID_3685-YLCMQ,0.00017490237048083335
customerID_0691-IFBQW,0.0001748356399548625
customerID_1343-EHPYB,0.0001746681687987622
customerID_0504-HHAPI,0.00017465710985444698
customerID_0927-LCSMG,0.00017461364610502146
customerID_7603-USHJS,0.00017460351316348356
customerID_1213-NGCUN,0.0001745814816264713
customerID_2082-OJVTK,0.0001744925300105521
customerID_3331-HQDTW,0.0001742516746783409
customerID_2930-UOTMB,0.00017419952512630202
customerID_6923-JHPMP,0.00017413272642183476
